图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,close-预测置信度,down-预测置信度,forward-预测置信度,left-预测置信度,leftdown-预测置信度,lefttop-预测置信度,right-预测置信度,rightdown-预测置信度,righttop-预测置信度,top-预测置信度
E:\10\final\val\close\32oy19.jpg,0,close,0,close,7,rightdown,1,down,True,0.9997187,9.2925686e-05,2.4782415e-07,1.03056664e-07,6.5398467e-07,5.1978947e-07,5.4835127e-06,0.00017204457,8.43168e-06,9.045522e-07
E:\10\final\val\close\32oy2.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999819,1.1432523e-05,1.989914e-09,2.1891175e-10,7.777503e-09,8.506716e-09,2.0162537e-08,6.5207864e-06,7.079678e-08,2.3174472e-08
E:\10\final\val\close\32oy20.jpg,0,close,0,close,7,rightdown,1,down,True,0.9979437,0.0003932073,8.6931266e-07,6.536106e-08,5.828024e-07,1.8731947e-07,3.1174586e-05,0.0016052116,2.3547955e-05,1.4576808e-06
E:\10\final\val\close\32oy21.jpg,0,close,0,close,1,down,7,rightdown,True,0.9997943,0.00012203024,3.698383e-08,9.934863e-10,3.5833654e-08,1.3041364e-08,3.600323e-07,8.267356e-05,5.0348376e-07,1.4327516e-07
E:\10\final\val\close\32oy22.jpg,0,close,0,close,7,rightdown,1,down,True,0.99984634,2.3142173e-05,1.7553003e-08,3.6858885e-10,4.129159e-09,9.139874e-09,1.0425917e-06,0.0001241761,5.039599e-06,2.1969885e-07
E:\10\final\val\close\32oy23.jpg,0,close,0,close,1,down,7,rightdown,True,0.99994564,4.845216e-05,3.6257504e-09,8.27963e-09,1.2630553e-06,4.8597396e-08,6.780024e-09,4.5705874e-06,3.4833738e-09,5.642503e-09
E:\10\final\val\close\32oy24.jpg,0,close,0,close,7,rightdown,1,down,True,0.9998466,3.4624692e-05,7.583314e-08,2.7205183e-09,1.562877e-08,1.0208319e-07,2.0775863e-06,9.7701115e-05,1.729387e-05,1.5750057e-06
E:\10\final\val\close\32oy26.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999554,3.2777e-05,2.2786836e-08,1.0296429e-08,1.9728762e-07,2.7632657e-07,1.0348747e-07,1.0517462e-05,3.9017266e-07,2.3461531e-07
E:\10\final\val\close\32oy27.jpg,0,close,0,close,1,down,4,leftdown,True,0.9999635,2.6620146e-05,2.5004699e-08,2.885156e-07,4.276162e-06,3.99313e-06,2.7109074e-08,1.1602743e-06,5.15717e-08,1.5461178e-07
E:\10\final\val\close\32oy28.jpg,0,close,0,close,7,rightdown,1,down,True,0.99998045,8.481071e-06,1.5768087e-09,2.4184604e-10,6.212868e-09,4.0895722e-09,4.6457146e-08,1.089417e-05,1.06544896e-07,1.113195e-08
E:\10\final\val\close\32oy29.jpg,0,close,0,close,1,down,7,rightdown,True,0.99974746,0.00014422346,1.7862196e-07,1.3145339e-08,2.5769467e-07,4.1071084e-07,8.3989727e-07,0.00010068085,3.9385413e-06,1.9437543e-06
E:\10\final\val\close\32oy3.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999317,4.3958513e-05,3.6785792e-08,7.0440573e-09,1.02748835e-07,2.3073447e-07,2.3064162e-07,2.2365857e-05,9.3060964e-07,4.4773302e-07
E:\10\final\val\close\32oy30.jpg,0,close,0,close,7,rightdown,1,down,True,0.9999895,4.5613688e-06,3.3994183e-09,4.8444737e-10,5.3283444e-09,5.0500827e-08,4.7167934e-08,4.935342e-06,8.06705e-07,1.6626782e-07
E:\10\final\val\close\32oy31.jpg,0,close,0,close,1,down,5,lefttop,True,0.9998838,8.757571e-05,2.0053761e-07,3.5897284e-07,4.1894577e-06,1.7914466e-05,7.598451e-08,2.3775185e-06,3.6136038e-07,3.1925133e-06
E:\10\final\val\close\32oy32.jpg,0,close,0,close,7,rightdown,8,righttop,True,0.9999771,2.2999784e-06,2.2417737e-09,2.7069359e-11,1.8264736e-10,2.5142664e-09,1.9420798e-07,1.5290196e-05,4.9202235e-06,1.4410732e-07
E:\10\final\val\close\32oy33.jpg,0,close,0,close,7,rightdown,1,down,True,0.9996929,2.366593e-05,1.4279596e-08,9.698777e-10,2.3532614e-08,2.5049573e-08,8.504826e-07,0.00027702563,5.3563535e-06,1.8192375e-07
E:\10\final\val\close\32oy34.jpg,0,close,0,close,1,down,5,lefttop,True,0.99989295,9.489103e-05,1.1706436e-07,1.5232352e-07,1.9597646e-06,4.8833067e-06,7.676924e-08,3.626395e-06,1.8153844e-07,1.1026107e-06
E:\10\final\val\close\32oy7.jpg,0,close,0,close,1,down,4,leftdown,True,0.9995229,0.00039634458,1.2320743e-07,5.9090235e-07,6.3781044e-05,1.5783557e-05,1.3893146e-09,1.2204873e-07,1.1606519e-09,4.0380402e-07
E:\10\final\val\close\32oy8.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999876,1.078888e-05,4.9548587e-09,7.1151784e-10,1.113617e-08,3.0826108e-08,1.8768691e-08,1.3401118e-06,8.341071e-08,8.147665e-08
E:\10\final\val\close\32oy9.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999771,1.8476418e-05,9.938902e-09,6.1159318e-09,1.4621472e-07,1.5593432e-07,3.525401e-08,3.9252964e-06,1.2308544e-07,1.102706e-07
E:\10\final\val\close\clozo1.jpg,0,close,0,close,1,down,5,lefttop,True,0.99998796,1.1988409e-05,8.029102e-10,4.6301926e-10,2.8474938e-08,2.9139361e-08,6.647209e-11,1.3240108e-08,7.67795e-11,6.8049797e-09
E:\10\final\val\close\clozo10.jpg,0,close,0,close,1,down,5,lefttop,True,1.0,2.3291701e-08,8.0583673e-13,4.9164214e-11,2.153706e-09,1.1111548e-08,1.1662761e-12,4.49431e-10,1.19640756e-11,6.235053e-11
E:\10\final\val\close\clozo100.jpg,0,close,0,close,1,down,5,lefttop,True,0.9999999,1.5627417e-07,1.3518649e-11,1.7737227e-10,4.5769704e-09,1.2196899e-08,1.9401654e-11,2.70458e-09,8.113294e-11,3.9141113e-10
E:\10\final\val\close\clozo104.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.9999957,3.4718607e-07,2.8415598e-11,3.689805e-08,2.1602848e-06,1.7164737e-06,7.4466155e-13,7.708485e-11,1.1767575e-12,3.7166561e-10
E:\10\final\val\close\clozo105.jpg,0,close,0,close,5,lefttop,1,down,True,0.99999845,1.9674053e-07,3.20118e-11,4.8750897e-09,8.284194e-08,1.2133096e-06,2.8385382e-12,1.8017313e-10,1.9542161e-11,2.2086657e-09
E:\10\final\val\close\clozo106.jpg,0,close,0,close,1,down,5,lefttop,True,0.9999939,2.3645835e-06,3.108666e-10,3.4483417e-08,1.3546298e-06,2.3570635e-06,4.001542e-12,2.774128e-10,5.4791076e-12,3.901531e-09
E:\10\final\val\close\clozo108.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.99991584,9.660371e-07,4.707981e-11,4.7351105e-07,7.761845e-05,5.1234583e-06,2.4446048e-13,2.9941678e-11,9.3732334e-14,1.3422152e-10
E:\10\final\val\close\clozo109.jpg,0,close,0,close,4,leftdown,5,lefttop,True,1.0,1.7735928e-08,1.764681e-12,1.2882438e-09,2.8126683e-08,2.7820374e-08,6.5192e-12,6.2803274e-10,2.8193352e-11,4.118038e-11
E:\10\final\val\close\clozo11.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.9999995,8.077215e-09,4.929137e-13,1.8184959e-09,4.1841684e-08,4.6050377e-07,4.998551e-14,5.088129e-12,3.7694592e-13,4.5868566e-11
E:\10\final\val\close\clozo110.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.998459,2.2907561e-06,1.4165714e-10,6.590086e-06,0.0015037488,2.8419137e-05,2.5290918e-13,2.2735869e-11,4.7059494e-14,1.75704e-10
E:\10\final\val\close\clozo111.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.9999672,1.0849783e-07,1.1178056e-12,5.1048314e-08,3.1178362e-05,1.4187507e-06,2.3153372e-15,1.121436e-12,1.5149638e-15,6.4293623e-12
E:\10\final\val\close\clozo112.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.999997,5.167564e-08,5.6126295e-13,7.3717707e-09,2.4622393e-06,3.8340795e-07,5.3979373e-15,2.655947e-12,7.558635e-15,7.099676e-12
E:\10\final\val\close\clozo113.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.99863225,2.6162002e-06,1.4804623e-10,4.502461e-06,0.0013353373,2.5266381e-05,2.6153778e-13,2.8903276e-11,6.0661735e-14,2.1257997e-10
E:\10\final\val\close\clozo114.jpg,0,close,0,close,4,leftdown,1,down,True,0.9999676,1.3002801e-06,2.635333e-11,5.567687e-08,3.0334151e-05,7.906283e-07,2.7014504e-13,1.1959929e-10,1.4328534e-13,7.634815e-11
E:\10\final\val\close\clozo116.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.9963909,4.596709e-06,2.4307092e-10,1.0372189e-05,0.003502768,9.1370144e-05,7.690977e-14,6.895417e-12,1.4232632e-14,3.4990263e-10
E:\10\final\val\close\clozo118.jpg,0,close,0,close,4,leftdown,1,down,True,0.9999974,7.5111916e-07,2.0551557e-11,6.323996e-09,1.0688075e-06,7.358645e-07,2.3875783e-13,6.835594e-11,4.3907757e-13,3.1838784e-10
E:\10\final\val\close\clozo119.jpg,0,close,0,close,4,leftdown,1,down,True,0.99992716,2.414838e-06,4.3078274e-11,1.1035978e-07,6.790156e-05,2.3858715e-06,1.3346515e-13,5.672748e-11,6.000802e-14,1.2520823e-10
E:\10\final\val\close\clozo12.jpg,0,close,0,close,5,lefttop,4,leftdown,True,1.0,1.2025768e-09,1.0648727e-14,6.9894965e-11,6.9052812e-09,5.8050034e-08,3.30023e-16,1.4937304e-13,3.7832146e-15,1.9988026e-12
E:\10\final\val\close\clozo122.jpg,0,close,0,close,4,leftdown,1,down,True,0.9999999,4.4285198e-08,1.0797728e-13,7.385675e-11,8.477314e-08,3.111943e-09,1.4975522e-14,6.0202905e-11,2.1698263e-14,1.0302208e-12
E:\10\final\val\close\clozo123.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.9992606,9.4485625e-07,6.1196846e-11,4.912171e-06,0.000703614,2.9937903e-05,1.0460114e-13,7.306664e-12,2.3198977e-14,1.1424662e-10
E:\10\final\val\close\clozo124.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.99999833,6.6163195e-09,9.8803615e-14,1.2048047e-08,1.3690951e-06,3.8098827e-07,2.3474705e-15,4.4021002e-13,3.0549709e-15,1.4339399e-12
E:\10\final\val\close\clozo126.jpg,0,close,0,close,1,down,5,lefttop,True,1.0,4.2389303e-08,1.4993431e-12,5.4962465e-11,2.427507e-09,2.6593556e-09,5.644793e-12,1.6523687e-09,2.3534286e-11,3.730093e-11
E:\10\final\val\close\clozo127.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.9999995,2.6629646e-08,1.4955693e-12,4.9253313e-09,1.4398677e-07,3.0888705e-07,8.785808e-14,6.3551608e-12,2.0080557e-13,3.9226282e-11
E:\10\final\val\close\clozo128.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.9999888,1.4093716e-07,9.88597e-12,7.7985206e-08,3.1073791e-06,7.8360645e-06,6.121216e-14,3.5191067e-12,1.1422356e-13,2.2509378e-10
E:\10\final\val\close\clozo129.jpg,0,close,0,close,1,down,5,lefttop,True,1.0,2.866448e-08,1.258023e-12,1.0235178e-10,2.9740341e-09,2.2354682e-08,2.2000076e-13,3.1911074e-11,1.3809855e-12,9.260868e-11
E:\10\final\val\close\clozo13.jpg,0,close,0,close,1,down,5,lefttop,True,1.0,4.441418e-09,6.327145e-14,9.207878e-13,2.2951042e-11,7.3611384e-10,1.3359707e-14,2.270559e-12,1.5254478e-13,1.2371504e-11
E:\10\final\val\close\clozo130.jpg,0,close,0,close,1,down,5,lefttop,True,1.0,2.6982079e-08,1.0401465e-12,9.8964996e-11,4.132906e-09,5.2698295e-09,1.7921082e-12,4.0466247e-10,7.0886153e-12,3.0090076e-11
E:\10\final\val\close\clozo131.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999999,5.3182593e-08,3.6608125e-12,4.0793095e-11,9.212669e-10,1.3535563e-09,3.670666e-11,6.2972063e-09,1.3541365e-10,8.483561e-11
E:\10\final\val\close\clozo132.jpg,0,close,0,close,1,down,7,rightdown,True,1.0,2.4688232e-08,2.9756577e-12,5.48297e-11,7.46808e-10,2.5805806e-09,3.029821e-11,3.1012244e-09,1.9586907e-10,1.234106e-10
E:\10\final\val\close\clozo134.jpg,0,close,0,close,1,down,7,rightdown,True,1.0,3.1693546e-08,3.482887e-12,8.836226e-11,1.5288909e-09,2.7840588e-09,3.5225996e-11,3.9562282e-09,1.7293365e-10,1.01464656e-10
E:\10\final\val\close\clozo136.jpg,0,close,0,close,7,rightdown,1,down,True,0.9999999,4.5125923e-08,1.910409e-12,5.4905613e-13,1.4000418e-11,1.8267896e-11,2.8011388e-10,1.2071118e-07,1.3971381e-09,5.1156728e-11
E:\10\final\val\close\clozo137.jpg,0,close,0,close,1,down,7,rightdown,True,0.99999976,1.7239212e-07,7.8194135e-12,4.8867743e-11,3.0524046e-09,5.2791715e-10,2.1563147e-10,1.0980694e-07,4.1997886e-10,6.340575e-11
E:\10\final\val\close\clozo138.jpg,0,close,0,close,7,rightdown,1,down,True,0.9999969,6.5974206e-07,1.2979883e-11,1.2848906e-12,1.405971e-10,1.1386307e-11,1.5304851e-09,2.4032524e-06,1.905439e-09,6.124521e-11
E:\10\final\val\close\clozo139.jpg,0,close,0,close,1,down,4,leftdown,True,0.99995136,4.7765618e-05,7.4473726e-11,1.7172062e-10,7.9482027e-07,2.229861e-09,1.4690213e-12,1.2460411e-08,2.4694553e-13,5.4800896e-11
E:\10\final\val\close\clozo14.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.99999964,1.5247414e-08,2.0929363e-13,5.889206e-10,5.5322545e-08,3.2969533e-07,3.488425e-15,1.2005669e-12,1.8751505e-14,1.6320978e-11
E:\10\final\val\close\clozo140.jpg,0,close,0,close,7,rightdown,1,down,True,0.9999981,5.391791e-07,1.6485265e-11,2.5414811e-11,3.231419e-09,2.0301615e-10,9.940205e-10,1.3872201e-06,1.4945741e-09,8.025428e-11
E:\10\final\val\close\clozo142.jpg,0,close,0,close,7,rightdown,1,down,True,0.99999106,8.9252524e-07,3.2139732e-11,1.0436711e-11,1.2512676e-09,9.655369e-11,4.421077e-09,8.00906e-06,8.272319e-09,1.7293804e-10
E:\10\final\val\close\clozo145.jpg,0,close,0,close,7,rightdown,1,down,True,0.9999964,4.939489e-07,1.882141e-12,9.565331e-14,4.0654223e-11,8.420682e-13,3.6655548e-10,3.025345e-06,3.457356e-10,5.9505144e-12
E:\10\final\val\close\clozo146.jpg,0,close,0,close,7,rightdown,1,down,True,0.99999917,1.794716e-07,1.8147712e-12,3.856692e-13,5.86999e-11,5.103835e-12,2.508692e-10,6.2935584e-07,4.306579e-10,1.2554074e-11
E:\10\final\val\close\clozo147.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999999,8.93346e-08,2.0312862e-12,3.8144723e-11,4.0894017e-09,7.193991e-10,1.9629718e-11,1.5914067e-08,4.5809738e-11,2.1619229e-11
E:\10\final\val\close\clozo148.jpg,0,close,0,close,1,down,4,leftdown,True,0.9999999,8.1746784e-08,3.258591e-12,1.0504732e-10,6.6371215e-09,3.129365e-09,1.0632465e-11,4.0205683e-09,3.0173752e-11,5.3018433e-11
E:\10\final\val\close\clozo149.jpg,0,close,0,close,1,down,5,lefttop,True,0.9999999,5.262308e-08,3.8172655e-12,4.8332727e-10,1.6722742e-08,1.7176516e-08,5.212043e-12,8.416341e-10,1.6981494e-11,8.4113785e-11
E:\10\final\val\close\clozo15.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.99999774,3.3695663e-08,1.4594152e-12,1.0921638e-08,7.118418e-07,1.5392126e-06,3.9153346e-14,6.3956175e-12,1.3575297e-13,5.459457e-11
E:\10\final\val\close\clozo150.jpg,0,close,0,close,1,down,7,rightdown,True,0.999962,2.8763905e-05,7.258151e-10,1.0908095e-11,3.6415702e-09,2.4906485e-10,3.4297587e-09,9.21697e-06,4.6361635e-09,2.8777976e-09
E:\10\final\val\close\clozo151.jpg,0,close,0,close,1,down,7,rightdown,True,0.9999882,1.0351427e-05,3.1671324e-10,1.9253857e-11,4.735236e-09,4.714605e-10,9.409111e-10,1.394394e-06,1.4271062e-09,1.6527463e-09
E:\10\final\val\close\clozo152.jpg,0,close,0,close,1,down,7,rightdown,True,0.99999225,7.150722e-06,6.6826067e-10,1.3140848e-10,1.2925785e-08,6.083007e-09,1.1508777e-09,5.660483e-07,3.641639e-09,7.9065e-09
E:\10\final\val\close\clozo153.jpg,0,close,0,close,1,down,7,rightdown,True,0.99562055,0.0041162553,3.518166e-08,9.2964253e-10,1.8506012e-06,1.079639e-09,3.2558823e-08,0.00026121165,1.4099988e-09,3.6798804e-09
E:\10\final\val\close\clozo154.jpg,0,close,0,close,1,down,7,rightdown,True,0.9998354,0.00015945386,9.446476e-10,2.2351962e-10,3.6274815e-07,8.6176993e-10,7.115331e-10,4.8414277e-06,1.05541104e-10,4.1156034e-10
E:\10\final\val\close\clozo155.jpg,0,close,0,close,1,down,7,rightdown,True,0.9982487,0.0016693899,1.0090584e-08,2.3699118e-10,5.131207e-07,6.1658356e-10,7.879493e-09,8.145572e-05,6.7964834e-10,2.1230315e-09
E:\10\final\val\close\clozo156.jpg,0,close,0,close,1,down,4,leftdown,True,0.99893576,0.0010594992,1.862907e-08,5.156852e-09,3.8822027e-06,3.212718e-08,6.089479e-10,7.466399e-07,6.910844e-11,8.4858955e-09
E:\10\final\val\close\clozo157.jpg,0,close,0,close,1,down,7,rightdown,True,0.999481,0.0005128043,2.1029523e-09,2.3040522e-10,5.652325e-07,8.946766e-10,6.488625e-10,5.5497094e-06,6.667654e-11,6.2445155e-10
E:\10\final\val\close\clozo16.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.99999976,6.6169346e-09,2.0942263e-13,5.498629e-10,4.144519e-08,2.3072135e-07,1.9386453e-14,6.660965e-12,2.59196e-13,2.8406772e-11
E:\10\final\val\close\clozo162.jpg,0,close,0,close,1,down,4,leftdown,True,0.99599445,0.003987815,6.1665915e-08,1.3313495e-08,1.4014843e-05,2.2252403e-08,2.653153e-09,3.5822932e-06,1.036685e-10,8.037534e-09
E:\10\final\val\close\clozo163.jpg,0,close,0,close,1,down,4,leftdown,True,0.99999654,3.4459676e-06,2.8554886e-10,6.0391114e-10,5.465366e-08,1.3339332e-08,1.846063e-10,5.0440725e-08,2.7588434e-10,1.9863107e-09
E:\10\final\val\close\clozo165.jpg,0,close,0,close,1,down,7,rightdown,True,0.99732506,0.0026526703,2.2295565e-08,1.6386649e-09,3.097453e-06,2.2417597e-09,4.7729203e-09,1.917755e-05,2.1252373e-10,2.6452953e-09
E:\10\final\val\close\clozo166.jpg,0,close,0,close,1,down,7,rightdown,True,0.9992015,0.00079038506,2.2471783e-08,1.3131239e-09,4.3180725e-07,4.2286494e-09,8.526253e-09,7.716021e-06,8.8405316e-10,8.410539e-09
E:\10\final\val\close\clozo17.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.9999956,2.803707e-07,1.9757005e-11,2.7380894e-08,2.04167e-06,2.113704e-06,8.9202533e-13,1.6068559e-10,2.1641157e-12,3.85678e-10
E:\10\final\val\close\clozo171.jpg,0,close,0,close,1,down,7,rightdown,True,0.99862397,0.00095853215,1.3895995e-08,1.1084301e-09,1.1331517e-06,4.3799622e-10,9.27545e-08,0.00041621053,3.3723566e-09,1.095596e-09
E:\10\final\val\close\clozo172.jpg,0,close,0,close,1,down,7,rightdown,True,0.99873763,0.0012387262,1.8620429e-09,1.04272736e-10,6.648655e-07,9.611369e-11,1.012827e-09,2.298194e-05,2.6224953e-11,1.242028e-10
E:\10\final\val\close\clozo173.jpg,0,close,0,close,1,down,4,leftdown,True,0.9982153,0.0017686356,3.262301e-08,1.1596449e-08,1.168246e-05,3.149009e-08,2.6139222e-09,4.368936e-06,2.3179443e-10,8.388243e-09
E:\10\final\val\close\clozo174.jpg,0,close,0,close,1,down,7,rightdown,True,0.99999774,2.2193342e-06,2.394072e-10,4.4727924e-10,3.827888e-08,2.8786046e-08,1.9777796e-10,6.870821e-08,8.7557483e-10,4.4827186e-09
E:\10\final\val\close\clozo175.jpg,0,close,0,close,1,down,5,lefttop,True,0.9997502,0.00013037221,7.91278e-08,6.1593227e-07,4.076903e-05,7.6634715e-05,4.4349063e-10,3.3991512e-08,1.3683056e-09,1.2171768e-06
E:\10\final\val\close\clozo176.jpg,0,close,0,close,1,down,4,leftdown,True,0.9999254,7.363753e-05,5.558184e-10,9.345601e-10,9.975868e-07,1.7173372e-08,1.24933605e-11,2.4957146e-08,3.2974608e-12,7.375359e-10
E:\10\final\val\close\clozo177.jpg,0,close,0,close,1,down,4,leftdown,True,0.9999304,6.791803e-05,5.4850907e-10,1.6389893e-09,1.6346897e-06,3.6509086e-08,5.145287e-12,7.766475e-09,1.3356497e-12,8.1824164e-10
E:\10\final\val\close\clozo178.jpg,0,close,0,close,1,down,5,lefttop,True,0.9999598,3.1913485e-05,2.1339774e-08,7.7619525e-08,2.4621104e-06,5.3168897e-06,6.8624995e-10,3.425543e-08,1.7720024e-09,3.1700267e-07
E:\10\final\val\close\clozo179.jpg,0,close,0,close,1,down,4,leftdown,True,0.99997365,2.3078048e-05,9.94216e-10,4.106631e-09,2.28738e-06,8.790183e-08,4.889092e-10,9.227856e-07,8.1277685e-10,4.239673e-09
E:\10\final\val\close\clozo18.jpg,0,close,0,close,4,leftdown,5,lefttop,True,0.99999166,6.100898e-07,4.0911975e-11,4.6317165e-08,5.6777076e-06,1.975031e-06,1.6070134e-12,3.6000805e-10,2.8446106e-12,4.6512413e-10
E:\10\final\val\close\clozo180.jpg,0,close,0,close,1,down,4,leftdown,True,0.99999416,5.640472e-06,2.6879982e-10,6.00298e-10,7.359417e-08,3.859354e-08,5.855413e-11,2.340352e-08,1.2631864e-10,2.9163825e-09
E:\10\final\val\close\clozo181.jpg,0,close,1,down,0,close,7,rightdown,True,0.084710196,0.91233826,3.0801546e-06,5.9021904e-10,4.5181737e-06,2.0060202e-11,2.6322638e-07,0.0029437102,9.0058745e-11,2.8559057e-09
E:\10\final\val\close\clozo182.jpg,0,close,0,close,5,lefttop,4,leftdown,True,0.9999429,1.1372748e-05,6.7070394e-09,4.819501e-07,1.9079147e-05,2.607012e-05,1.9076188e-10,9.496709e-09,6.2183575e-10,9.7560275e-08
E:\10\final\val\close\clozo183.jpg,0,close,0,close,1,down,4,leftdown,True,0.9996301,0.0003579101,1.0106848e-07,4.6824038e-08,6.581276e-06,4.0951536e-06,9.2365293e-10,1.8064097e-07,1.9589794e-09,9.687645e-07
E:\10\final\val\close\clozo184.jpg,0,close,0,close,1,down,4,leftdown,True,0.99993443,5.963681e-05,6.117732e-10,3.3957839e-09,5.675477e-06,7.435236e-08,2.7590602e-11,7.986435e-08,1.7072224e-11,1.1821761e-09
E:\10\final\val\close\clozo185.jpg,0,close,0,close,1,down,5,lefttop,True,0.99999905,6.5809013e-07,2.035483e-10,4.3168193e-09,8.056259e-08,1.7823277e-07,7.3401535e-11,3.4600718e-09,2.305651e-10,4.08173e-09
E:\10\final\val\close\clozo186.jpg,0,close,0,close,1,down,4,leftdown,True,0.99998665,1.2656822e-05,1.132128e-09,2.9487914e-09,4.4518163e-07,1.18974356e-07,1.5613125e-10,5.5139267e-08,2.7179153e-10,9.448901e-09
E:\10\final\val\close\clozo187.jpg,0,close,0,close,1,down,7,rightdown,True,0.99999464,4.474673e-06,6.480924e-10,2.7686745e-10,1.6054408e-08,5.6191407e-09,3.0501828e-09,8.945387e-07,7.3707547e-09,5.574179e-09
E:\10\final\val\close\clozo188.jpg,0,close,0,close,1,down,5,lefttop,True,0.99999845,1.0745176e-06,2.5426372e-10,2.0040976e-09,6.5608795e-08,2.8469358e-07,7.809704e-11,9.050667e-09,6.381493e-10,1.12134275e-08
E:\10\final\val\close\clozo189.jpg,0,close,0,close,1,down,4,leftdown,True,0.99974364,0.00023989256,5.4861957e-08,7.388062e-08,1.2457343e-05,3.387544e-06,8.587178e-10,1.8175487e-07,1.0934426e-09,3.00306e-07
E:\10\final\val\close\clozo19.jpg,0,close,0,close,4,leftdown,1,down,True,0.9999949,9.013571e-07,4.136832e-11,1.8490326e-08,3.4330315e-06,7.2595293e-07,2.0242794e-12,7.3949163e-10,3.1788795e-12,3.8207973e-10
E:\10\final\val\close\clozo191.jpg,0,close,0,close,1,down,7,rightdown,True,0.95192945,0.046855163,5.8956232e-08,4.5075478e-11,3.2222965e-07,1.3406729e-11,4.1538215e-08,0.001214912,1.9550377e-10,7.2989415e-10
